,City,Cloudy,Country,Date,Hum,Lat,Lng,Temp,Wind
0,saint-leu,94,RE,1573299366,54,-21.15,55.28,82.4,8.05
1,busselton,88,AU,1573299233,66,-33.64,115.35,71.15,13.65
2,hobart,75,AU,1573299055,57,-42.88,147.33,51.8,8.05
3,rio grande,1,US,1573299261,74,41.11,-90.4,30.99,9.17
4,hermanus,22,ZA,1573299236,58,-34.42,19.24,88.0,18.01
5,qaanaaq,0,GL,1573299241,52,77.48,-69.36,-5.81,5.21
6,puerto ayora,20,AR,1573299230,64,-51.62,-69.23,37.4,10.29
7,bluff,0,AU,1573299222,21,-23.58,149.07,69.53,8.19
8,port alfred,45,CD,1573299228,59,-7.04,29.76,84.38,7.27
9,ushuaia,90,AR,1573299223,64,-54.81,-68.31,39.2,13.87
10,mahibadhoo,47,MV,1573299367,73,3.78,72.97,83.16,7.96
11,chokurdakh,100,RU,1573299231,100,70.62,147.9,-10.97,2.82
12,emirdag,0,TR,1573299368,27,39.02,31.15,65.37,4.97
13,fortuna,90,US,1573299256,100,40.6,-124.16,51.01,1.5
14,east london,40,UG,1573299230,50,3.43,31.7,89.42,2.57
15,provideniya,99,RU,1573299233,94,64.42,-173.23,31.59,3.83
16,matamoros,90,US,1573299369,81,25.87,-97.51,54.0,11.41
17,kungurtug,100,RU,1573299369,96,50.6,97.53,27.34,3.31
18,ponta do sol,86,BR,1573299265,90,-0.53,-65.05,77.9,0.47
19,flinders,75,AU,1573299236,50,-34.58,150.85,62.01,13.87
20,cidreira,7,BR,1573299225,87,-30.17,-50.22,70.29,20.45
21,kodiak,1,US,1573299226,74,39.95,-94.76,35.01,4.7
22,chuy,70,UY,1573299234,72,-33.69,-53.46,70.81,5.59
23,yabelo,31,ET,1573299369,57,4.89,38.09,75.65,6.31
24,wahiawa,20,US,1573299152,78,21.5,-158.02,73.0,3.36
25,novodugino,100,RU,1573299371,78,55.63,34.3,43.99,17.31
26,lata,0,IN,1573299293,85,30.78,78.62,23.76,0.81
27,shugurovo,0,RU,1573299371,68,54.51,52.13,31.15,4.81
28,jamestown,0,AU,1573299237,80,-33.21,138.6,46.67,5.35
29,skelleftea,100,SE,1573299371,85,64.75,20.95,16.0,8.05
30,arandas,100,MX,1573299371,87,20.71,-102.35,55.35,3.09
31,ilulissat,40,GL,1573299255,29,69.22,-51.1,39.2,25.28
32,uvat,24,RU,1573299372,89,59.14,68.9,8.15,1.59
33,junin,67,PE,1573299372,26,-16.45,-71.58,57.2,3.36
34,cape town,0,CL,1573299226,81,-36.41,-71.9,55.0,8.05
35,khatanga,100,RU,1573299234,98,71.98,102.47,-10.72,5.12
36,hilo,1,US,1573299129,78,19.71,-155.08,71.6,5.82
37,adrar,0,DZ,1573299306,24,27.87,-0.29,71.6,21.92
38,albany,20,US,1573298940,79,42.65,-73.75,21.0,4.7
39,ribeira grande,90,PT,1573299246,100,41.76,-8.56,55.4,4.7
40,genhe,8,CN,1573299373,92,50.78,121.52,18.5,2.04
41,barrow,14,AR,1573299223,56,-38.31,-60.23,59.77,9.84
42,arraial do cabo,75,BR,1573299226,83,-22.84,-46.65,75.99,5.82
43,glens falls,1,US,1573299373,92,34.87,-88.41,28.0,0.47
44,kautokeino,0,NO,1573299373,94,69.01,23.04,-0.57,0.54
45,martapura,20,ID,1573299374,55,-3.41,114.85,89.6,5.82
46,bambous virieux,20,MU,1573299226,58,-20.26,57.41,82.4,14.99
47,norman wells,1,US,1573299374,90,35.22,-97.44,39.99,8.05
48,baykit,100,RU,1573299244,89,61.68,96.39,-0.77,9.4
49,saskylakh,100,RU,1573299265,97,71.97,114.09,-8.38,9.73
50,thompson,75,CA,1573299008,84,55.74,-97.86,-2.21,4.03
51,san angelo,47,ML,1573299218,24,13.3,-4.9,97.23,2.75
52,mataura,94,NZ,1573299221,96,-46.19,168.86,53.01,2.01
53,urmary,90,RU,1573299374,86,55.68,47.94,26.6,2.24
54,phulabani,100,IN,1573299374,93,20.47,84.23,69.49,2.89
55,lebu,75,ET,1573299239,37,8.96,38.73,71.6,11.41
56,victoria,75,BN,1573299008,83,5.28,115.24,78.01,3.36
57,banjar,0,ID,1573299375,75,-7.37,108.54,75.07,2.17
58,georgetown,95,GY,1573299124,83,6.8,-58.16,82.4,17.6
59,chara,20,GR,1573299375,46,39.42,22.43,69.8,5.82
60,boca do acre,0,IT,1573299376,54,45.68,8.41,57.0,3.36
61,new norfolk,75,LR,1573299228,66,6.65,-10.59,89.6,3.13
62,kibaya,20,RW,1573299376,57,-2.2,30.56,77.0,3.0
63,san jose,47,ML,1573299002,24,13.3,-4.9,97.23,2.75
64,mahon,20,IE,1573299376,75,51.89,-8.4,46.99,17.22
65,kahului,90,US,1573299277,83,20.89,-156.47,72.0,4.7
66,rikitea,100,PF,1573299222,75,-23.12,-134.97,73.27,5.68
67,tiksi,5,RU,1573299241,89,71.64,128.87,-13.96,3.11
68,usinsk,100,RU,1573299282,95,66.0,57.56,10.06,8.99
69,yellowknife,5,CA,1573299230,76,62.45,-114.38,-9.01,9.17
70,mayo,5,CA,1573299244,75,63.59,-135.9,-20.21,4.7
71,wencheng,82,CN,1573299377,76,27.79,120.09,47.25,2.37
72,mangrol,0,IN,1573299377,45,25.33,76.51,79.92,4.21
73,araouane,22,ML,1573299264,9,18.9,-3.53,91.99,12.12
74,axim,35,GH,1573299378,46,4.87,-2.24,92.8,5.53
75,bethel,40,US,1573299240,92,60.79,-161.76,33.8,11.41
76,parker,1,US,1573299378,74,43.4,-97.14,41.0,6.93
77,taoudenni,100,ML,1573299378,12,22.68,-3.98,87.28,13.06
78,teya,40,MX,1573299379,94,21.05,-89.07,81.0,2.64
79,sinnamary,13,GF,1573299379,81,5.38,-52.96,82.4,12.68
80,kaitangata,54,NZ,1573299236,89,-46.28,169.85,55.0,11.1
81,atuona,16,PF,1573299247,78,-9.8,-139.03,79.36,14.61
82,ulaangom,90,MN,1573299306,94,49.98,92.07,28.04,0.45
83,vaini,40,IN,1573299223,48,15.34,74.49,84.2,2.24
84,moose factory,1,US,1573299380,85,43.66,-110.72,26.6,3.36
85,banda aceh,0,IN,1573299380,39,28.24,80.11,79.56,0.51
86,khandyga,0,RU,1573299380,97,62.65,135.58,-22.02,1.86
87,lompoc,20,US,1573299071,100,34.64,-120.46,66.99,10.87
88,andujar,1,ES,1573299380,55,38.04,-4.05,55.99,4.0
89,tuktoyaktuk,0,CA,1573299238,90,69.44,-133.03,-1.11,12.91
90,maralal,38,KE,1573299381,41,1.1,36.7,80.6,13.62
91,bathsheba,40,BB,1573299224,74,13.22,-59.52,84.2,20.8
92,kununurra,4,AU,1573299381,38,-15.77,128.74,91.4,10.29
93,rabat,0,MA,1573299382,48,34.02,-6.83,64.4,9.17
94,tasiilaq,100,GL,1573299223,44,65.61,-37.64,37.4,32.21
95,coihaique,35,CL,1573299236,75,-45.58,-72.07,46.4,3.36
96,severo-kurilsk,92,RU,1573299257,82,50.68,156.12,27.32,15.88
97,makakilo city,20,US,1573299263,78,21.35,-158.09,71.6,3.36
98,airai,27,TL,1573299263,90,-8.93,125.41,68.32,2.01
99,wiarton,90,CA,1573299304,74,44.74,-81.13,28.4,12.75
100,saint-philippe,1,CA,1573299237,85,45.36,-73.48,23.0,8.05
101,talnakh,40,RU,1573299241,75,69.49,88.39,-13.01,15.66
102,mwinilunga,63,ZM,1573299383,31,-11.73,24.43,89.01,6.96
103,maragogi,92,BR,1573299252,73,-9.01,-35.22,79.84,15.61
104,codrington,90,AU,1573299267,72,-28.95,153.24,63.0,2.71
105,punta arenas,75,PH,1573299222,78,14.18,121.12,82.4,3.36
106,port hedland,45,CD,1573299244,59,-7.04,29.76,84.38,7.27
107,bubaque,5,GW,1573299245,45,11.28,-15.83,83.93,7.76
108,antofagasta,90,CL,1573299295,77,-23.65,-70.4,60.8,5.82
109,grand river south east,90,FR,1573299235,81,48.39,5.49,50.0,9.17
110,bredasdorp,36,ZA,1573299228,49,-34.53,20.04,73.99,28.86
